,id,industry,sub_industry,data_type,is_breakout,keywords,search_volume,city_name,cluster_number,added_at,data_source
0,504,healthcare,dental care,query,FALSE,"piper pediatric dentistry, kulshan pediatric dentistry, nw pediatric dentistry, uw pediatric dentistry, oak harbor pediatric dentistry, wenatchee pediatric dentistry, wenatchee pediatric dentistry, bothell pediatric dentistry, arlington pediatric dentistry, newport pediatric dentistry, olympia pediatric dentistry, puget sound pediatric dentistry, evergreen pediatric dentistry, puget sound pediatric dentistry, puget sound pediatric dentistry, olympia pediatric dentistry, pediatric dentistry near me, bellevue dental care, bellingham pediatric dentistry, center for pediatric dentistry, bellevue pediatric dentistry, olympia pediatric dentistry, bellingham pediatric dentistry, evergreen pediatric dentistry, bellingham pediatric dentistry, apple pediatric dentistry, bellevue pediatric dentistry, apple pediatric dentistry, apple pediatric dentistry, oak harbor pediatric dentistry, evergreen pediatric dentistry, kulshan pediatric dentistry, bellevue dental care, bellevue pediatric dentistry, pediatric dentistry near me, pediatric dentist near me, newport pediatric dentistry, center for pediatric dentistry, center for pediatric dentistry, bothell pediatric dentistry, wenatchee pediatric dentistry, ballard pediatric dentistry, sammamish pediatric dentistry, pacific pediatric dentistry, sunshine pediatric dentistry, woodinville pediatric dentistry, woodinville pediatric dentistry, woodinville pediatric dentistry, pacific pediatric dentistry, ballard pediatric dentistry, bellevue dental care, art of pediatric dentistry, sammamish pediatric dentistry, bothell pediatric dentistry, pacific pediatric dentistry, pediatric dentist near me, piper pediatric dentistry, piper pediatric dentistry, ballard pediatric dentistry, arlington pediatric dentistry",3819,Seattle,0,17:57.8,Google Trends
1,505,healthcare,dental care,query,FALSE,"comfort dental braces lakewood, seamar dental, bright now dental, clear choice dental implants, how much do dental implants cost, george pig braces, good braces colors, floss threader for braces, all on four dental implants, headgear braces, creekside dental care, types of dental implants, george braces peppa pig, peninsula oral surgery, young dental care, ceramic braces, pure dental care, how much are braces, auburn dental care, oral surgery associates, lingual braces, sammamish oral surgery, how long do you have to wear braces, sterling dental care, meridian dental care, dental implants near me, emergency dental care usa, affordable oral surgery, dental implants near me, teeth braces, dentist near me, community health care, emergency dental care usa, oral and maxillofacial surgery, invisalign, dentist near me, dental care seattle, emergency dental care usa, affordable oral surgery, dental implants cost, braces cost, dentist near me, family dental care, braces cost, edmonds oral surgery, 47 north oral surgery, oral surgery near me, evergreen oral surgery, urgent dental care, delta dental, summit oral surgery, emergency dental care near me, sunshine dental care, united health care dental provider portal, how much is invisalign, evergreen oral surgery, dental implants near me, edmonds oral surgery, unity care dental, invisalign cost, braces wax, 47 north oral surgery, dental care near me, invisalign, knee braces, all on 4 dental implants, horizon oral surgery, children's dental care of kent, fake braces, riverstone dental care, emergency dental care, cost of dental implants, dental implants dentist, advanced dental care, emergency dental care, braces near me, united health care, complete dental care, braces colors, pinnacle dental care, care credit, south sound oral surgery, sammamish oral surgery, dental implants dentist, eastside oral surgery, dental implants seattle, braces near me, braces cost, urgent dental care, burien family dental care, spokane oral surgery, how much do braces cost, red braces, invisalign cost, ceramic braces, all family dental care, children's dental care, childrens dental care, south sound oral surgery, how much does braces cost, summit oral surgery, eastside oral surgery, issaquah dental care, delta dental dentists near me, community health care dental, braces color, edmonds oral surgery, invisalign, evergreen oral surgery, northwest center for oral and facial surgery, leg braces, headgear braces, orthodontist, emergency dental care near me, 47 north oral surgery, oral surgery near me, types of dental implants, all on 4 dental implants, unity care dental, everett dental care, what are dental implants, knee braces, south sound oral surgery, cost of braces, orthodontist, northwest center for oral and facial surgery, apex dental care, children dental care, affordable oral surgery, auburn dental care, braces wax, unity care dental, united health care, clear braces, peninsula oral surgery, clear braces, how much do braces cost, braces colors, peninsula oral surgery, issaquah dental care, gentle dental, children dental care, issaquah dental care, delta dental of washington, all on 4 dental implants, how much are braces, braces near me, everett dental care, how much are braces, washington oral and maxillofacial surgery, ankle braces, northwest center for oral and facial surgery, invisalign vs braces, dental implants specialist, lingual braces, clear braces, invisalign vs braces, affordable dental care, black braces, ceramic braces, united health care dental, ankle braces, capital oral surgery, central washington oral and facial surgery, oral surgery associates olympia, orthodontic braces, braces colors, meridian dental care, sterling dental care, seattle braces, avenue dental care, metal braces, children dental care, apex dental care, pink braces, molen oral surgery, young dental care, dental urgent care near me, headgear braces, aurora dental care, best braces colors, dental care of south puyallup, how much do braces cost, cost of braces, aurora dental care, wax for braces, braces wax near me, damon braces, lingual braces",12180,Seattle,1,17:57.8,Google Trends
2,506,healthcare,dental care,query,FALSE,"right dental care, oakville dental care, highland dental care, prestige dental care, all on 4 dental implants, family dental care near me, the smile company dental care llc, alpha dental care, kirkwood dental care, boain dental care, dental care for kids, care credit, farmington dental care, boain dental care, dental urgent care, urgent dental care, dental implants near me, delta dental dentists near me, dental implants near me, dental implants cost, affordable dental care, urgent care dental, urgent dental care, dental care near me, how much are dental implants, cost of dental implants, dental implants near me, dental implants dentist, dental care for kids, what are dental implants, american dental care conway reviews, childrens dental care, farmington dental care, webster dental care, emergency dental care, ballas dental care, emergency dental care, ballas dental care, delta dental dentists near me, dental care for kids, ballwin dental care, dental implants dentist, oakville dental care, university dental care, emergency dental care, how much are dental implants, ballas dental care, what are dental implants, ballwin dental care, ballas dental care, emergency dental care, all on 4 dental implants, webster dental care, dental urgent care near me, oakville dental care, ballwin dental care, best care dental, affordable dental implants, dental urgent care near me, ballwin dental care, dental urgent care near me, webster dental care, total care dental, types of dental implants, total care dental, delta dental, total care dental, boain dental care, childrens dental care, south county complete dental care, how much are dental implants, family dental care near me, jungermann dental care, south county complete dental care, jungermann dental care, oakville dental care, new creation dental care, south county complete dental care, aspen dental, right dental care, childrens dental care, south county complete dental care, highland dental care, university dental care, webster dental care, right dental care, new creation dental care, family dental care near me, legacy dental care, alpha dental care",5927,St Louis,0,17:57.8,Google Trends
3,507,healthcare,dental care,query,FALSE,"damon braces, st louis pediatric dentistry des peres, little egypt pediatric dentistry, pediatric sedation dentistry, ceramic braces, oral surgery partners, oral maxillofacial surgery, st louis pediatric dentistry, midwest oral surgery, braces cost, dentist near me, st louis pediatric dentistry, braces cost, st louis pediatric dentistry, midwest oral surgery, clear braces, pediatric dentists near me, how much do braces cost, braces near me, fake braces, how much are braces, st. louis pediatric dentistry, southwest oral surgery, braces colors, braces near me, associated pediatric dentistry, invisalign, associated pediatric dentistry glen carbon, george pig braces, oral and maxillofacial surgery, cuivre creek pediatric dentistry, southwest oral surgery, midwest oral surgery, associated pediatric dentistry, oral facial surgery institute, invisalign braces, sunset hills pediatric dentistry, mid america oral surgery, mosaic oral surgery, before and after braces, sunset hills pediatric dentistry, associated pediatric dentistry, southwest oral surgery, archway oral surgery, pediatric dentistry of sunset hills, southern illinois pediatric dentistry, ceramic braces, archway oral surgery, skyview pediatric dentistry, mouthguard for braces, clear braces, pediatric dentistry of sunset hills, oral facial surgery institute, invisalign, pediatric dentist, pediatric dentistry of sunset hills, southern illinois pediatric dentistry, braces colors, oral facial surgery institute, southern illinois pediatric dentistry, archway oral surgery, clear braces near me, how much do braces cost, braces colors, metal braces, mosaic oral surgery, adult braces, clear braces near me, oral surgery near me, mosaic oral surgery, mid america oral surgery, how much are braces, how much are braces, braces for kids, st. louis pediatric dentistry, skyview pediatric dentistry, pediatric dentistry near me, kids smiles pediatric dentistry, st. louis pediatric dentistry, pediatric dentistry services, mid america oral surgery, skyview pediatric dentistry, st louis pediatric dentistry des peres, ceramic braces, pediatric dentistry services, gateway oral surgery, clear braces near me, power chain braces, midwest oral maxillofacial & implant surgery, how much do braces cost, kids smiles pediatric dentistry, midwest oral and maxillofacial surgery, little smiles pediatric dentistry, oral surgery partners, southwest oral surgery crestwood, midwest oral maxillofacial & implant surgery, dental insurance that covers braces for adults, kids smiles pediatric dentistry, cuivre creek pediatric dentistry, midwest oral maxillofacial & implant surgery, pediatric dentistry services, southwest oral surgery watson",5499,St Louis,1,17:57.8,Google Trends
4,508,healthcare,health insurance,query,FALSE,"describe the difference between medicare and medicaid. how do these programs influence healthcare access?, medicare section nyt, rick scott medicare fraud, telehealth medicare, telehealth medicare 2025, is medicare being cut, rick scott medicare fraud case, medicare vs medicade, medicare and telehealth, wellabe medicare supplement, railroad medicare, medicare cuts 2025, aarp medicare supplement plans, are medicare premiums tax deductible, does medicare cover palliative care, does medicare cover cataract surgery, medicaid vs medicare, medicare.gov login, united healthcare medicare login, medicare advantage plans in washington state, is trump cutting medicare and medicaid, whats the difference between medicare and medicaid, medicare telehealth coverage, uhc medicare advantage login, medicare premiums based on income 2025, medicaid cuts, medicare cuts, aetna medicare advantage plans 2025, additional medicare tax 2024, noridian medicare portal login, wellcare medicare advantage, humana medicare advantage plans 2025, best medicare advantage plans, mutual of omaha medicare supplement, medicare advantage plans, medicare advantage, medicaid medicare, aarp united healthcare medicare advantage, medicare open enrollment, medicare advantage plans, medicaid, dr oz medicare, medicare open enrollment 2025, medicare advantage plans, medicare open enrollment, medicaid, what is medicare, medicaid, medicare sections, what is medicare, medicare advantage plan, medicare cut, medicare advantage, medicare budget, medicare tax, medicaid vs medicare, social security medicare, social security medicare, medicare wages, medicaid, premera medicare advantage, what is medicare, medicaid vs medicare, medicare qualifications, medicare part b, medicare advantage, my medicare, medicare insurance, medicare login, humana medicare advantage, medicare dental plans, medicare supplement plans 2025, medicare provider phone number, medicare tax rate 2024, medicare washington state, humana medicare advantage, medicare part b, humana medicare advantage, medicare tax, medicare plans, medicare plans, my medicare, noridian medicare portal login, trump medicare, uhc medicare advantage, aetna medicare advantage, medicare login, medicare number, medicare part a, medicare and medicaid, medicare tax, aetna medicare, what is medicare advantage, aetna medicare advantage, medicare supplement plans, medicare part b, medicare supplement plans, aetna medicare, medicare part d, medicare trump, medicare and medicaid, my medicare, aetna medicare advantage, humana, medicare advantage plans 2025, medicare plans, medicare coverage, medicaid vs medicare, medicare vs medicaid, medicare supplement plans, uhc medicare advantage, medicare part a, humana medicare, medicare vs medicaid, uhc medicare advantage, aarp medicare advantage, medicare phone number, aarp medicare advantage, medicare cost, medicare card, medicare part d, aetna medicare, kaiser medicare advantage, medicare coverage, aarp medicare advantage, medicare sign up, medicare age, humana, medicare number, medicare, medicare benefits, humana medicare, medicare, medicare part a, medicare card, medicare advantage plans washington state, regence medicare advantage, medicare part d, humana, medicare, humana medicare, medicare advantage plans washington state, uhc medicare advantage login, regence medicare advantage, wellcare medicare advantage, wellcare medicare advantage, humana medicare advantage plans 2025, medigap vs medicare advantage",17414,Seattle,0,17:57.8,Google Trends
5,509,healthcare,health insurance,query,FALSE,"one healthcare id login, rick scott, telehealth, what is cms in healthcare, willamette dental, mutual of omaha dental insurance, physicians mutual dental insurance, healthplanfinder, vision insurance washington state, social security administration, umr provider portal, is united healthcare medicaid, washington healthplanfinder, standard deduction 2024, meritain health insurance, when is open enrollment for health insurance 2025, molina healthcare washington, washington health plan finder, metlife vision, federal income tax brackets, blue cross blue shield, health equity, moda health insurance, dental insurance no waiting period, metlife vision, small business health insurance washington state, delta dental login, net investment income tax, health insurance agent, washington dental insurance, united healthcare, open enrollment 2025, vsp vision insurance, washington health insurance, regency health insurance, when is open enrollment for health insurance 2025, vsp insurance, health insurance washington, dental insurance washington, open enrollment 2025, washington health insurance, dental insurance washington, eye insurance, vsp insurance, vsp, delta dental insurance, community health plan of washington, guardian vision insurance, va dental insurance, state health insurance, urgent care near me, delta dental, state health insurance, delta dental insurance, delta dental, irmaa brackets 2025, vsp vision, costco vision center, allied health insurance, mutual of omaha dental insurance, molina healthcare washington, affordable health insurance washington state, qualifying event for health insurance, delta dental insurance, vsp insurance, vsp vision insurance, vsp vision, vsp vision insurance, washington apple health login, health insurance quotes, doors, travel health insurance international, washington state insurance, washington state insurance, washington state health insurance, social security, health insurance washington state, social security, health insurance washington state, aetna dental insurance, washington state insurance, cigna health insurance phone number, short term health insurance, what is commercial health insurance, dental insurance washington state, washington healthcare, dental insurance washington state, first choice health, hma insurance, metlife vision insurance, what is a deductible in health insurance, pebb health insurance, principal dental insurance, vision insurance washington state, apple health, apple health insurance, willamette dental, apple health, humana dental insurance, health insurance tax form, best dental insurance, apple health insurance, apple health insurance, apple health, social security, wa health insurance, dental insurance plans, wa health insurance, best dental insurance, metlife vision, best dental insurance, aetna, davis vision, dental insurance plans, how much is dental insurance, marketplace, health insurance marketplace, dental insurance plans, best health insurance, united healthcare, guardian, cigna dental insurance, cigna dental insurance, guardian dental insurance, apple health washington, washington apple health, health insurance plans, wa state health insurance, guardian dental, washington apple health, health insurance plans, marketplace insurance, marketplace health insurance, united health insurance, dental insurance, guardian dental insurance, social security tax, best health insurance, cigna dental insurance, marketplace insurance, health insurance marketplace, how to get health insurance, how much is health insurance, wa state health insurance, health insurance plans, dental insurance, state insurance wa, aetna dental insurance, united health insurance, aetna dental insurance, wa state health insurance, metlife dental, kaiser health insurance, metlife, cigna health insurance, travel health insurance, private health insurance, health insurance, cigna, trump healthcare, delta dental of washington, molina health insurance, private health insurance, guardian dental insurance, health insurance companies, kaiser, united healthcare portal, molina, molina, health plan finder, health insurance companies, aetna, private health insurance, regence, molina health insurance, aarp dental insurance, vision insurance plans, regence health insurance, one healthcare, united healthcare provider portal, delta dental of washington, aetna insurance, cigna health insurance, metlife dental, united healthcare login, aetna insurance, cigna health insurance, health insurance premiums, willamette dental, metlife dental, united healthcare dental insurance, metlife dental insurance, aetna health insurance, walmart vision center, orthodontics insurance, delta dental wa, how much does health insurance cost, willamette dental insurance, principal dental insurance, aarp dental insurance, physicians mutual dental insurance, emi dental insurance, aarp dental insurance, principal dental insurance, united healthcare dental insurance, humana dental insurance",19024,Seattle,1,17:57.8,Google Trends
6,541,technology,cloud computing,query,FALSE,"what is cloud computing, what is cloud computing, what is cloud computing",300,St Louis,0,17:57.8,Google Trends
7,620,healthcare,telehealth,query,TRUE,"medicare telehealth april 1, medicare ending telehealth, medicare telehealth coverage, medicare telehealth cut, is medicare no longer covering telehealth",,Seattle,1,17:57.8,Google Trends
8,621,healthcare,telehealth,query,TRUE,telehealth that accepts medicaid,,St Louis,0,17:57.8,Google Trends
9,622,healthcare,telehealth,query,TRUE,is telehealth ending,,St Louis,1,17:57.8,Google Trends
