id,industry,sub_industry,data_type,is_breakout,keywords,search_volume,city_name,cluster_number,added_at,data_source
691,healthcare,dental care,query,FALSE,"piper pediatric dentistry, kulshan pediatric dentistry, george pig braces, good braces colors, nw pediatric dentistry, floss threader for braces, wenatchee pediatric dentistry, oak harbor pediatric dentistry, headgear braces, uw pediatric dentistry, wenatchee pediatric dentistry, bothell pediatric dentistry, george braces peppa pig, peninsula oral surgery, ceramic braces, how much are braces, lingual braces, arlington pediatric dentistry, oral surgery associates, sammamish oral surgery, how long do you have to wear braces, puget sound pediatric dentistry, puget sound pediatric dentistry, evergreen pediatric dentistry, teeth braces, oral and maxillofacial surgery, invisalign, olympia pediatric dentistry, newport pediatric dentistry, braces cost, braces cost, edmonds oral surgery, 47 north oral surgery, evergreen oral surgery, summit oral surgery, how much is invisalign, puget sound pediatric dentistry, evergreen oral surgery, edmonds oral surgery, olympia pediatric dentistry, pediatric dentistry near me, invisalign cost, braces wax, 47 north oral surgery, invisalign, knee braces, fake braces, center for pediatric dentistry, horizon oral surgery, bellingham pediatric dentistry, braces near me, bellevue pediatric dentistry, braces colors, olympia pediatric dentistry, sammamish oral surgery, south sound oral surgery, bellingham pediatric dentistry, eastside oral surgery, evergreen pediatric dentistry, bellingham pediatric dentistry, braces near me, braces cost, apple pediatric dentistry, how much does braces cost, south sound oral surgery, ceramic braces, invisalign cost, red braces, how much do braces cost, spokane oral surgery, bellevue pediatric dentistry, summit oral surgery, eastside oral surgery, apple pediatric dentistry, apple pediatric dentistry, braces color, edmonds oral surgery, invisalign, evergreen oral surgery, northwest center for oral and facial surgery, leg braces, orthodontist, oak harbor pediatric dentistry, headgear braces, 47 north oral surgery, evergreen pediatric dentistry, kulshan pediatric dentistry, bellevue pediatric dentistry, pediatric dentistry near me, pediatric dentist near me, south sound oral surgery, knee braces, northwest center for oral and facial surgery, newport pediatric dentistry, center for pediatric dentistry, orthodontist, cost of braces, center for pediatric dentistry, bothell pediatric dentistry, wenatchee pediatric dentistry, braces wax, peninsula oral surgery, sammamish pediatric dentistry, pacific pediatric dentistry, ballard pediatric dentistry, clear braces, how much do braces cost, clear braces, braces colors, peninsula oral surgery, sunshine pediatric dentistry, woodinville pediatric dentistry, woodinville pediatric dentistry, woodinville pediatric dentistry, pacific pediatric dentistry, braces near me, how much are braces, ballard pediatric dentistry, washington oral and maxillofacial surgery, how much are braces, art of pediatric dentistry, sammamish pediatric dentistry, ankle braces, northwest center for oral and facial surgery, bothell pediatric dentistry, invisalign vs braces, pacific pediatric dentistry, pediatric dentist near me, invisalign vs braces, piper pediatric dentistry, clear braces, ballard pediatric dentistry, lingual braces, piper pediatric dentistry, black braces, ceramic braces, ankle braces, capital oral surgery, central washington oral and facial surgery, oral surgery associates olympia, arlington pediatric dentistry, orthodontic braces, braces colors, seattle braces, metal braces, pink braces, molen oral surgery, best braces colors, headgear braces, how much do braces cost, cost of braces, wax for braces, braces wax near me, damon braces, lingual braces",9090,Seattle,0,26:38.0,Google Trends
692,healthcare,dental care,query,FALSE,"comfort dental braces lakewood, bright now dental, seamar dental, clear choice dental implants, how much do dental implants cost, all on four dental implants, creekside dental care, types of dental implants, young dental care, pure dental care, auburn dental care, sterling dental care, meridian dental care, dentist near me, emergency dental care usa, dentist near me, community health care, emergency dental care usa, dental implants near me, affordable oral surgery, dental care seattle, dentist near me, emergency dental care usa, family dental care, dental implants near me, dental implants cost, affordable oral surgery, oral surgery near me, urgent dental care, delta dental, emergency dental care near me, sunshine dental care, united health care dental provider portal, dental implants near me, unity care dental, bellevue dental care, dental care near me, all on 4 dental implants, riverstone dental care, children's dental care of kent, emergency dental care, cost of dental implants, dental implants dentist, advanced dental care, emergency dental care, united health care, complete dental care, pinnacle dental care, care credit, dental implants dentist, dental implants seattle, urgent dental care, childrens dental care, children's dental care, all family dental care, burien family dental care, issaquah dental care, delta dental dentists near me, community health care dental, emergency dental care near me, types of dental implants, oral surgery near me, bellevue dental care, all on 4 dental implants, everett dental care, unity care dental, what are dental implants, apex dental care, children dental care, affordable oral surgery, auburn dental care, united health care, unity care dental, issaquah dental care, gentle dental, issaquah dental care, children dental care, delta dental of washington, all on 4 dental implants, everett dental care, bellevue dental care, dental implants specialist, united health care dental, affordable dental care, meridian dental care, sterling dental care, avenue dental care, children dental care, apex dental care, young dental care, aurora dental care, dental urgent care near me, dental care of south puyallup, aurora dental care",6909,Seattle,1,26:38.0,Google Trends
693,healthcare,dental care,query,FALSE,"right dental care, damon braces, oakville dental care, highland dental care, prestige dental care, all on 4 dental implants, family dental care near me, the smile company dental care llc, alpha dental care, boain dental care, kirkwood dental care, care credit, dental care for kids, farmington dental care, boain dental care, ceramic braces, braces cost, dental implants near me, braces cost, dentist near me, urgent dental care, dental implants near me, affordable dental care, delta dental dentists near me, dental urgent care, dental implants cost, clear braces, urgent dental care, urgent care dental, dental care near me, how much are braces, how much are dental implants, braces near me, fake braces, how much do braces cost, cost of dental implants, dental implants near me, dental implants dentist, dental care for kids, braces colors, what are dental implants, braces near me, american dental care conway reviews, george pig braces, invisalign braces, before and after braces, farmington dental care, childrens dental care, webster dental care, emergency dental care, ballas dental care, emergency dental care, ballas dental care, delta dental dentists near me, ceramic braces, dental care for kids, mouthguard for braces, clear braces, ballwin dental care, dental implants dentist, braces colors, emergency dental care, university dental care, oakville dental care, clear braces near me, how much are dental implants, ballas dental care, how much do braces cost, what are dental implants, ballwin dental care, ballas dental care, emergency dental care, braces colors, metal braces, all on 4 dental implants, webster dental care, adult braces, dental urgent care near me, oakville dental care, ballwin dental care, affordable dental implants, clear braces near me, oral surgery near me, best care dental, dental urgent care near me, how much are braces, ballwin dental care, how much are braces, dental urgent care near me, braces for kids, webster dental care, total care dental, types of dental implants, total care dental, delta dental, total care dental, south county complete dental care, childrens dental care, boain dental care, family dental care near me, how much are dental implants, ceramic braces, jungermann dental care, south county complete dental care, jungermann dental care, oakville dental care, clear braces near me, power chain braces, south county complete dental care, how much do braces cost, aspen dental, new creation dental care, right dental care, childrens dental care, south county complete dental care, highland dental care, university dental care, webster dental care, right dental care, new creation dental care, family dental care near me, dental insurance that covers braces for adults, legacy dental care, alpha dental care",8011,St Louis,0,26:38.0,Google Trends
694,healthcare,dental care,query,FALSE,"st louis pediatric dentistry des peres, little egypt pediatric dentistry, pediatric sedation dentistry, oral surgery partners, pediatric dentists near me, midwest oral surgery, st louis pediatric dentistry, oral maxillofacial surgery, st louis pediatric dentistry, midwest oral surgery, st louis pediatric dentistry, st. louis pediatric dentistry, southwest oral surgery, associated pediatric dentistry, oral and maxillofacial surgery, cuivre creek pediatric dentistry, associated pediatric dentistry glen carbon, invisalign, southwest oral surgery, midwest oral surgery, associated pediatric dentistry, oral facial surgery institute, sunset hills pediatric dentistry, mosaic oral surgery, mid america oral surgery, sunset hills pediatric dentistry, associated pediatric dentistry, southwest oral surgery, archway oral surgery, pediatric dentistry of sunset hills, southern illinois pediatric dentistry, archway oral surgery, skyview pediatric dentistry, pediatric dentistry of sunset hills, invisalign, oral facial surgery institute, pediatric dentist, pediatric dentistry of sunset hills, southern illinois pediatric dentistry, oral facial surgery institute, southern illinois pediatric dentistry, archway oral surgery, mosaic oral surgery, mosaic oral surgery, mid america oral surgery, st. louis pediatric dentistry, skyview pediatric dentistry, pediatric dentistry near me, st. louis pediatric dentistry, kids smiles pediatric dentistry, pediatric dentistry services, mid america oral surgery, st louis pediatric dentistry des peres, skyview pediatric dentistry, pediatric dentistry services, gateway oral surgery, midwest oral maxillofacial & implant surgery, midwest oral and maxillofacial surgery, kids smiles pediatric dentistry, little smiles pediatric dentistry, oral surgery partners, southwest oral surgery crestwood, midwest oral maxillofacial & implant surgery, kids smiles pediatric dentistry, cuivre creek pediatric dentistry, midwest oral maxillofacial & implant surgery, pediatric dentistry services, southwest oral surgery watson",3415,St Louis,1,26:38.0,Google Trends
695,healthcare,health insurance,query,FALSE,"describe the difference between medicare and medicaid. how do these programs influence healthcare access?, medicare section nyt, rick scott medicare fraud, telehealth medicare, telehealth medicare 2025, is medicare being cut, rick scott medicare fraud case, medicare vs medicade, medicare and telehealth, railroad medicare, wellabe medicare supplement, medicare cuts 2025, aarp medicare supplement plans, are medicare premiums tax deductible, does medicare cover palliative care, does medicare cover cataract surgery, medicaid vs medicare, united healthcare medicare login, medicare.gov login, medicare advantage plans in washington state, whats the difference between medicare and medicaid, is trump cutting medicare and medicaid, medicare premiums based on income 2025, uhc medicare advantage login, medicare telehealth coverage, medicare cuts, aetna medicare advantage plans 2025, additional medicare tax 2024, noridian medicare portal login, humana medicare advantage plans 2025, wellcare medicare advantage, mutual of omaha medicare supplement, best medicare advantage plans, dr oz medicare, medicare open enrollment, medicare advantage plans, medicare advantage, medicare advantage plans, medicare open enrollment, aarp united healthcare medicare advantage, medicare advantage plans, medicaid medicare, medicare open enrollment 2025, what is medicare, medicare sections, what is medicare, medicare advantage plan, medicare cut, medicare advantage, medicare budget, medicare tax, medicaid vs medicare, social security medicare, social security medicare, premera medicare advantage, what is medicare, medicare wages, medicaid vs medicare, medicare qualifications, medicare advantage, medicare part b, medicare insurance, my medicare, medicare login, humana medicare advantage, medicare tax rate 2024, medicare provider phone number, medicare dental plans, medicare supplement plans 2025, medicare washington state, humana medicare advantage, medicare part b, humana medicare advantage, medicare tax, medicare plans, medicare plans, my medicare, trump medicare, noridian medicare portal login, uhc medicare advantage, aetna medicare advantage, medicare login, medicare number, medicare part a, medicare and medicaid, medicare tax, what is medicare advantage, aetna medicare, aetna medicare advantage, medicare supplement plans, medicare part b, my medicare, medicare and medicaid, aetna medicare advantage, medicare trump, medicare supplement plans, aetna medicare, medicare part d, medicare advantage plans 2025, medicare coverage, medicare vs medicaid, medicare plans, medicaid vs medicare, medicare supplement plans, uhc medicare advantage, medicare part a, humana medicare, medicare vs medicaid, uhc medicare advantage, aarp medicare advantage, aarp medicare advantage, medicare phone number, medicare card, medicare cost, medicare part d, kaiser medicare advantage, aetna medicare, medicare sign up, medicare coverage, aarp medicare advantage, medicare age, medicare number, medicare, medicare benefits, medicare, humana medicare, medicare advantage plans washington state, regence medicare advantage, medicare card, medicare part d, medicare part a, medicare, humana medicare, medicare advantage plans washington state, wellcare medicare advantage, uhc medicare advantage login, regence medicare advantage, wellcare medicare advantage, humana medicare advantage plans 2025, medigap vs medicare advantage",16797,Seattle,0,26:38.0,Google Trends
696,healthcare,health insurance,query,FALSE,"one healthcare id login, rick scott, telehealth, what is cms in healthcare, willamette dental, vision insurance washington state, physicians mutual dental insurance, healthplanfinder, mutual of omaha dental insurance, social security administration, umr provider portal, is united healthcare medicaid, washington healthplanfinder, standard deduction 2024, medicaid cuts, meritain health insurance, when is open enrollment for health insurance 2025, molina healthcare washington, metlife vision, washington health plan finder, federal income tax brackets, blue cross blue shield, health equity, moda health insurance, dental insurance no waiting period, small business health insurance washington state, metlife vision, net investment income tax, delta dental login, health insurance agent, united healthcare, washington health insurance, open enrollment 2025, vsp vision insurance, washington dental insurance, regency health insurance, when is open enrollment for health insurance 2025, medicaid, vsp insurance, health insurance washington, dental insurance washington, medicaid, open enrollment 2025, washington health insurance, eye insurance, dental insurance washington, medicaid, vsp insurance, vsp, delta dental insurance, va dental insurance, guardian vision insurance, state health insurance, urgent care near me, community health plan of washington, delta dental, state health insurance, delta dental insurance, delta dental, irmaa brackets 2025, qualifying event for health insurance, vsp vision, costco vision center, allied health insurance, mutual of omaha dental insurance, molina healthcare washington, affordable health insurance washington state, delta dental insurance, vsp insurance, vsp vision insurance, vsp vision, vsp vision insurance, doors, washington apple health login, health insurance quotes, travel health insurance international, washington state insurance, social security, washington state health insurance, washington state insurance, health insurance washington state, health insurance washington state, social security, short term health insurance, cigna health insurance phone number, washington state insurance, what is commercial health insurance, medicaid, aetna dental insurance, washington healthcare, dental insurance washington state, dental insurance washington state, first choice health, hma insurance, metlife vision insurance, what is a deductible in health insurance, pebb health insurance, principal dental insurance, vision insurance washington state, apple health, willamette dental, best dental insurance, apple health insurance, apple health, humana dental insurance, health insurance tax form, apple health insurance, apple health insurance, apple health, social security, wa health insurance, dental insurance plans, best dental insurance, wa health insurance, metlife vision, best dental insurance, aetna, davis vision, humana, dental insurance plans, how much is dental insurance, marketplace, health insurance marketplace, dental insurance plans, best health insurance, united healthcare, guardian, cigna dental insurance, cigna dental insurance, guardian dental insurance, apple health washington, washington apple health, washington apple health, health insurance plans, wa state health insurance, humana, guardian dental, health insurance plans, marketplace insurance, marketplace health insurance, dental insurance, wa state health insurance, social security tax, best health insurance, united health insurance, cigna dental insurance, marketplace insurance, health insurance marketplace, how to get health insurance, how much is health insurance, guardian dental insurance, health insurance plans, dental insurance, state insurance wa, aetna dental insurance, united health insurance, aetna dental insurance, humana, wa state health insurance, metlife dental, kaiser health insurance, metlife, travel health insurance, private health insurance, health insurance, cigna health insurance, trump healthcare, cigna, delta dental of washington, molina health insurance, private health insurance, guardian dental insurance, health insurance companies, kaiser, united healthcare portal, molina, molina, health plan finder, health insurance companies, aetna, private health insurance, regence, molina health insurance, vision insurance plans, regence health insurance, one healthcare, united healthcare provider portal, delta dental of washington, aetna insurance, cigna health insurance, metlife dental, aarp dental insurance, united healthcare login, aetna insurance, cigna health insurance, health insurance premiums, willamette dental, metlife dental, united healthcare dental insurance, metlife dental insurance, aetna health insurance, walmart vision center, orthodontics insurance, delta dental wa, how much does health insurance cost, willamette dental insurance, aarp dental insurance, physicians mutual dental insurance, principal dental insurance, emi dental insurance, aarp dental insurance, principal dental insurance, united healthcare dental insurance, humana dental insurance",19641,Seattle,1,26:38.0,Google Trends
697,healthcare,health insurance,query,FALSE,"cigna careers, anthem dental insurance, mo healthnet, urgent care, united healthcare provider phone number, myuhc, affordable health insurance, aspen dental, cheap health insurance, health insurance quotes, ssa, life and health insurance license, siue health insurance, health insurance missouri, delta dental, united healthcare, open enrollment missouri schools, vsp, delta dental insurance, health insurance missouri, medicaid, clarkson eyecare, delta dental, missouri health insurance, mo healthnet, medicaid, when is open enrollment for health insurance 2025, delta dental insurance, delta dental insurance, health insurance marketplace, part time jobs with health insurance, obamacare, umr, marketplace, aetna, crown vision, delta dental, blue cross blue shield, medicaid, health alliance insurance, compass health, marketplace, marketplace health insurance, health insurance, health insurance marketplace, marketplace, mo health insurance, united healthcare customer service, homestate insurance, how much is dental insurance, affordable health insurance, home state health, adp, blue cross blue shield, aetna dental insurance, dentist near me, medicaid missouri, dental insurance missouri, social security, united health insurance, social security, dental insurance cost, dental insurance plans, illinois health insurance, delta vision insurance, aetna, health insurance illinois, illinois health insurance, physicians mutual dental insurance, dental insurance no waiting period, cigna health insurance, healthcare marketplace, health insurance plans, best health insurance, social security, health insurance plans, health insurance companies, best dental insurance, cigna dental insurance, dental insurance, dental insurance plans, guardian dental insurance, dental insurance plans, health insurance companies, health insurance companies, cigna dental insurance, private health insurance, free health insurance, aetna dental insurance, united healthcare, aetna health insurance, dental insurance illinois, united health care, aspen dental, metlife dental, aetna health insurance, anthem health insurance, aetna health insurance, home state health insurance, anthem, cigna, guardian dental insurance, metlife dental, metlife dental, ambetter health insurance, what is medicaid, affordable health insurance, cigna health insurance, cigna dental insurance, anthem health insurance, home state health insurance, cigna, united healthcare, blue cross blue shield, cigna health insurance, dental insurance for seniors, united healthcare provider, health insurance marketplace missouri, ambetter, home state health insurance, cms, social security tax, physicians mutual dental insurance, healthcare marketplace, unitedhealthcare, physicians mutual dental insurance, qualified health insurance premiums, united healthcare provider portal, mutual of omaha dental insurance, mutual of omaha dental insurance, umr health insurance, missouri qualified health insurance premiums, unitedhealthcare, is health insurance tax deductible, healthcare marketplace, cobra health insurance, missouri qualified health insurance premiums, dental insurance no waiting period, how much is health insurance per month, anthem dental insurance, delta dental of missouri, mutual of omaha dental insurance, guardian dental insurance, dental insurance no waiting period",8819,St Louis,0,26:38.0,Google Trends
698,healthcare,health insurance,query,FALSE,"telehealth medicare, ssa login, documentation required for medicare in united states, medicare cuts 2025, medicare cuts, medicaid cuts, when does medicare start, medicare nursing home compare, unitedhealthcare medicare advantage login, medicare prescription payment plan, what is the difference between medicare and medicaid, medicare section nyt crossword, united healthcare medicare login, cuts to medicare, ace medicare supplement, does medicare cover dental, medicare prescription payment plan, difference between medicare and medicaid, aetna medicare advantage login, what is the difference between medicare and medicaid, medicare advantage plans, medicare advantage plans, medicare advantage, medicare advantage plans, aetna medicare advantage, aetna medicare advantage, aetna medicare advantage, what is medicare, uhc medicare advantage login, united health care medicare, medicare advantage, aetna medicare login, what is medicare, united health care medicare, medicare advantage plans 2025, uhc medicare advantage, what is medicare, medicare.gov, unitedhealthcare medicare advantage, unitedhealthcare medicare advantage login, aetna login, medicare part b, medicare login, medicare login, medicare part b, uhc medicare advantage, uhc medicare advantage, aetna medicare, aetna medicare, medicare missouri, my medicare, humana medicare advantage, essence medicare, aarp medicare advantage, sign up for medicare, medicare part b, aarp medicare advantage, medicare tax, my medicare, medicare tax, medicare part a, aetna medicare, medicare login, medicare part a, medicare supplement plans, medicare number, medicare tax, medicare vs medicaid, aetna login, medicare part a, medicare part d, trump medicare, uhc medicare advantage login, medicaid vs medicare, medicare part d, aetna medicare advantage login, uhc, medicare supplement plans, medicare age, medicare phone number, medicare phone number, aetna medicare advantage login, part d medicare, uhc medicare, medicare advantage plans 2025, medicare age, uhc medicare advantage login, humana medicare, medicare phone number, cost of medicare, medicare vs medicaid, medicare cuts, medicare premiums, humana medicare advantage, medicare age, unitedhealthcare medicare advantage, humana, humana medicare, united healthcare medicare, medicare enrollment, humana medicare, aarp medicare advantage login, medicare dental plans, aarp medicare advantage login, united healthcare login",7651,St Louis,1,26:38.0,Google Trends
818,technology,artificial intelligence,query,TRUE,"manus, amazon alexa ai",,St Louis,0,26:38.0,Google Trends
699,healthcare,mental health,query,FALSE,"lauren betts mental health, mental health counselor salary, how does social media affect mental health, mla citation generator, mental health technician jobs, government jobs, bipolar disorder, intensive outpatient program mental health, therapeutic health services, optimum mental health services, hailey van lith mental health, anxiety treatment for kids, counseling services for wellbeing, free therapy online, kitsap mental health services, free online therapy, mindful therapy group, counseling services for wellbeing, counseling services for wellbeing, kitsap mental health services, how does sleep affect mental health, mental health treatment centers, mental health crisis line, kitsap mental health services, columbia river mental health services, fmla washington, columbia river mental health services, adult mental health services, mental health crisis hotline, psychiatric mental health nurse practitioner, borderline personality disorder, mental health counseling, mental health awareness month, serenity counseling services, mental health therapy, serenity counseling services, va mental health services, behavioral health, depression, kitsap mental health, mental health awareness, kitsap mental health, mental health month, depression, mental health awareness, kitsap mental health, mental health awareness, mental health month, credit counseling services, anxiety, mental health definition, mental health month, mental health definition, mental health definition, adhd, columbia river mental health",4917,Seattle,0,26:38.0,Google Trends
